rok,stan_fips,stan_nazwa,populacja_total,pct_ponizej_18lat,pct_powyzej_65lat,mediana_dochodu_gosp_dom,pct_ubóstwo,pct_zatrudnieni,pct_bezrobocie,pct_dojazd_samochod,pct_dojazd_carpool,pct_dojazd_transport_pub,pct_dojazd_pieszo,pct_praca_z_domu,sredni_czas_dojazdu_min,pct_wyksztalcenie_srednie,pct_wyksztalcenie_wyzsze,pct_bez_ubezpieczenia,liczba_jednostek_mieszkalnych,pct_mieszkania_wynajmowane,liczba_gospodarstw_domowych,pct_gospodarstwa_z_dziecmi,pct_dostep_internet
2014,FIPS:10,Delaware,935614,52.2,,59716,8.5,58.5,4.2,81.5,7.6,2.9,2.2,4.4,24.6,30.6,729078,92.2,417413,29.7,349743,,75.5
2014,FIPS:09,Connecticut,3596677,51.9,,70048,7.5,61.6,5.3,78.1,8.1,4.8,3.1,4.6,25.4,38.0,2812617,93.1,1493632,33.6,1355817,,80.5
2014,FIPS:12,Florida,19893297,51.7,0.0,47463,12.0,53.6,4.7,79.7,9.1,2.1,1.4,5.4,26.4,27.3,15785763,83.4,9144650,35.9,7328046,,75.8
2014,FIPS:13,Georgia,10097343,52.0,0.0,49321,14.1,56.7,5.1,79.6,10.1,2.1,1.6,5.0,27.6,29.1,7558160,84.2,4151387,37.8,3587521,,73.4
2014,FIPS:16,Idaho,1634464,50.5,0.1,47861,10.2,58.1,3.4,78.9,9.8,0.8,2.2,6.2,20.3,25.0,1199074,86.4,685098,32.0,591587,,73.6
2014,FIPS:15,Hawaii,1419561,49.7,,69592,7.8,58.1,3.3,66.4,13.5,7.2,4.7,4.5,27.9,31.0,1071834,94.7,530118,43.3,450769,,80.6
2014,FIPS:17,Illinois,12880580,51.5,0.0,57444,10.5,60.0,5.3,73.4,8.0,9.4,3.1,4.4,28.6,32.8,9878277,90.3,5307508,34.5,4772421,,75.5
2014,FIPS:18,Indiana,6596855,51.5,0.0,49446,10.9,59.5,4.5,83.2,9.0,1.1,2.0,3.4,23.3,24.7,5011382,88.1,2829630,31.4,2502739,,71.4
2014,FIPS:19,Iowa,3107126,50.8,0.0,53712,7.9,64.7,3.0,80.8,8.6,1.0,3.4,4.8,18.8,27.7,2379623,93.8,1362034,29.1,1241471,,74.2
2014,FIPS:20,Kansas,2904021,50.7,0.1,52504,9.2,61.9,3.4,82.1,9.5,0.5,2.5,4.0,19.2,31.5,2164713,89.8,1248861,33.4,1109280,,74.5
2014,FIPS:21,Kentucky,4413457,51.4,0.0,42958,14.5,54.4,4.5,81.9,10.0,1.1,2.4,3.2,22.9,22.2,3383932,91.5,1950504,33.9,1712094,,68.9
2014,FIPS:22,Louisiana,4649676,51.8,,44555,14.9,55.2,4.4,82.2,9.8,1.4,1.9,2.6,25.4,22.9,3521216,85.2,2011037,35.6,1718194,,66.6
2014,FIPS:23,Maine,1330089,51.8,,49462,9.7,59.3,3.7,77.3,10.7,0.8,3.9,5.4,23.6,29.4,1070433,89.9,727693,28.7,549841,,74.9
2014,FIPS:24,Maryland,5976407,52.3,0.0,73971,7.1,62.7,4.8,73.9,9.3,9.0,2.3,4.1,32.3,38.2,4601090,92.1,2422317,34.1,2165438,,80.1
2014,FIPS:25,Massachusetts,6745408,52.2,0.0,69160,8.3,62.9,4.5,71.2,7.4,9.8,4.9,4.8,28.8,41.2,5350381,96.7,2828592,38.4,2549336,,80.5
2014,FIPS:26,Michigan,9909877,51.5,0.0,49847,11.4,55.9,5.0,82.3,8.9,1.5,2.2,3.7,24.3,27.4,7682851,91.5,4540088,29.8,3834574,,72.9
2014,FIPS:27,Minnesota,5457173,50.7,0.1,61481,7.5,66.3,3.3,77.7,8.8,3.7,2.9,5.1,23.4,34.3,4171400,94.1,2385261,28.3,2129195,,78.3
2014,FIPS:28,Mississippi,2994079,52.2,,39680,16.5,51.7,5.6,85.5,8.7,0.3,1.4,2.3,24.2,21.1,2251182,85.5,1294738,32.3,1095823,,59.1
2014,FIPS:29,Missouri,6063589,51.6,0.0,48363,10.7,58.1,4.2,81.8,8.9,1.6,2.1,4.4,23.1,27.5,4652461,88.3,2735803,33.1,2354809,,71.6
2014,FIPS:30,Montana,1023579,50.2,0.4,46328,9.5,60.1,3.1,74.7,10.4,1.1,4.6,7.1,17.9,29.3,795463,85.8,491515,33.6,410962,,72.9
2014,FIPS:31,Nebraska,1881503,50.8,0.3,52686,8.7,67.1,2.9,81.7,9.5,0.7,2.9,4.0,18.4,29.5,1409368,90.3,814957,34.1,740765,,74.8
2014,FIPS:32,Nevada,2839099,50.1,0.0,51450,11.0,57.7,5.6,77.6,10.4,4.3,2.1,3.2,23.8,23.1,2169202,84.8,1198969,46.4,1021519,,76.3
2014,FIPS:33,New Hampshire,1326813,51.1,,66532,6.0,64.4,3.5,81.4,7.8,0.7,2.6,6.0,27.0,35.0,1058141,90.8,619865,29.8,519756,,82.1
2014,FIPS:34,New Jersey,8938175,51.8,,71919,8.3,61.0,5.0,71.7,7.9,11.0,3.1,4.2,31.1,37.4,6917501,89.1,3591847,36.7,3194844,,80.9
2014,FIPS:35,New Mexico,2085572,50.9,0.0,44803,16.5,53.4,5.1,80.3,9.5,1.3,2.1,4.8,21.8,26.4,1575741,85.5,912910,33.1,760916,,67.5
2014,FIPS:36,New York,19746227,52.2,0.0,58878,12.2,58.5,4.6,53.1,6.5,28.3,6.3,3.9,32.6,34.5,15498859,91.3,8191528,47.0,7282398,,76.5
2014,FIPS:37,North Carolina,9943964,52.0,0.0,46556,12.8,56.3,5.1,81.4,9.7,1.1,1.8,4.7,23.9,28.7,7573326,86.9,4452464,35.8,3790620,,72.4
