stan_fips,stan_nazwa,rok,miesiac,AWND_mean,CLDD_mean,DP01_mean,DP10_mean,DP1X_mean,DSNW_mean,DT00_mean,DT32_mean,DX32_mean,DX70_mean,DX90_mean,DYFG_mean,EMNT_mean,EMXT_mean,HTDD_mean,PRCP_mean,SNOW_mean,SNWD_mean,TAVG_mean,TMAX_mean,TMIN_mean,WSFG_mean,AWND_median,CLDD_median,DP01_median,DP10_median,DP1X_median,DSNW_median,DT00_median,DT32_median,DX32_median,DX70_median,DX90_median,DYFG_median,EMNT_median,EMXT_median,HTDD_median,PRCP_median,SNOW_median,SNWD_median,TAVG_median,TMAX_median,TMIN_median,WSFG_median,n_stacji
FIPS:06,California,2012,4,2.9837499999999997,17.003985507246377,7.722039473684211,5.246710526315789,0.625,0.6287878787878788,0.010256410256410256,5.505982905982906,0.25585585585585585,12.29009009009009,1.4126126126126126,8.465116279069768,-1.5024509803921569,30.229324546952224,190.78242753623186,71.24306220095694,69.17391304347827,,12.600000000000001,19.31334431630972,5.919607843137255,21.2,2.9,7.9,7.0,5.0,0.0,0.0,0.0,2.0,0.0,12.0,0.0,7.0,-0.6,30.6,163.55,61.3,0.0,,13.3,19.7,6.8,21.2,968
FIPS:06,California,2012,5,3.2049999999999996,43.77875457875458,1.768976897689769,0.6056105610561056,0.00825082508250825,0.011869436201780416,0.0,2.4766031195840554,0.023679417122040074,21.18761384335155,4.205828779599272,6.125,3.4483443708609274,32.04266666666666,100.47032967032968,5.0241987179487175,0.5030120481927711,,16.555685618729097,24.300666666666665,8.805794701986756,,3.1,19.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,1.0,4.0,3.9,32.8,71.65,1.0,0.0,,16.7,24.0,9.3,,950
FIPS:06,California,2012,6,3.2777777777777777,80.02888482632541,1.4684975767366721,0.691437802907916,0.050080775444264945,0.0029585798816568047,0.0,0.949740034662045,0.0,23.820652173913043,7.393115942028985,7.043478260869565,5.406965174129353,34.533884297520665,57.41882998171846,7.654028436018957,0.41317365269461076,,19.135333333333335,27.064462809917355,11.237645107794362,17.9,3.4,47.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,3.0,4.0,5.6,35.0,28.9,0.8,0.0,,18.8,26.6,11.3,17.9,955
FIPS:06,California,2012,7,2.8780487804878048,134.1457038391225,1.1802232854864434,0.34290271132376393,0.011164274322169059,0.0,0.0,0.03826086956521739,0.0,28.252268602540834,12.949183303085299,9.508196721311476,9.592857142857142,35.948172757475085,17.76124314442413,3.591820987654321,0.0,,22.11457286432161,30.120099667774085,14.120764119601331,18.1,2.8,120.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,12.0,9.0,9.4,36.7,2.2,0.25,0.0,,22.1,30.7,13.95,18.1,962
FIPS:06,California,2012,8,2.569620253164557,184.48722627737226,1.2420382165605095,0.5063694267515924,0.028662420382165606,0.0,0.0,0.10899653979238755,0.0,29.29872495446266,16.985428051001822,9.423728813559322,10.571688741721855,37.160565723793674,11.48448905109489,4.836589147286822,0.0,,23.988333333333333,32.099334442595676,15.869370860927154,22.4,2.5,185.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,20.0,8.0,10.6,38.3,0.0,0.0,0.0,,24.4,32.9,16.2,22.4,953
FIPS:06,California,2012,9,2.17875,125.0164533820841,0.584375,0.1609375,0.0046875,0.0,0.0,0.26770293609671847,0.0,27.816363636363636,12.370909090909091,9.587301587301587,9.256208053691275,34.66103678929766,20.43053016453382,1.392401215805471,0.0,,21.80151770657673,30.065551839464884,13.530872483221476,16.5,2.1,112.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,10.0,6.0,9.4,35.6,0.3,0.0,0.0,,22.2,30.8,13.649999999999999,16.5,973
FIPS:06,California,2012,10,2.271951219512195,45.97830882352941,4.121835443037975,2.1819620253164556,0.2310126582278481,0.13333333333333333,0.0,2.7038327526132404,0.0948905109489051,20.587591240875913,3.846715328467153,8.768292682926829,3.020304568527919,35.10927487352445,103.52463235294118,26.414373088685014,14.572953736654805,,16.486610169491527,23.610286677908938,9.326057529610829,15.850000000000001,2.2,37.8,4.0,2.0,0.0,0.0,0.0,0.0,0.0,22.0,3.0,8.0,3.9,36.1,73.2,17.6,0.0,,17.3,24.0,10.3,15.850000000000001,975
FIPS:06,California,2012,11,2.1158536585365852,7.084952380952381,8.49609984399376,5.513260530421217,1.2917316692667706,0.36,0.02486678507992895,5.690941385435169,0.24293785310734464,8.587570621468927,0.4839924670433145,12.252747252747254,-2.0575129533678758,27.660309278350514,210.61676190476192,103.53864661654134,35.0921052631579,,11.558304498269896,17.442439862542955,5.64300518134715,14.3,1.9,1.9,8.0,6.0,1.0,0.0,0.0,2.0,0.0,6.0,0.0,13.0,-1.1,27.8,174.8,66.0,0.0,,12.6,18.35,6.6,14.3,981
FIPS:06,California,2012,12,2.357317073170732,0.33307984790874523,13.912781954887219,9.586466165413533,2.4406015037593987,2.5533980582524274,0.2744755244755245,11.788461538461538,2.0492424242424243,1.7575757575757576,0.0,14.168316831683168,-5.0829931972789115,18.939931740614334,365.4292775665399,178.01350574712643,303.62857142857143,,6.516723549488055,11.195392491467576,1.833503401360544,20.6,2.25,0.0,14.0,10.0,1.0,0.0,0.0,8.5,0.0,0.0,0.0,15.0,-3.3,19.4,329.85,144.39999999999998,0.0,,7.85,12.3,3.05,20.6,1003
FIPS:06,California,2013,1,2.0256097560975608,0.4765267175572519,5.817126269956459,3.1117561683599417,0.09579100145137881,0.4330357142857143,0.784452296819788,14.76678445229682,1.6076190476190477,2.5352380952380953,0.0,7.980392156862745,-7.484536082474227,19.91241379310345,374.64274809160304,30.92083916083916,30.23963133640553,,6.222931034482759,12.352931034482758,0.06890034364261169,17.133333333333333,1.8,0.0,6.0,3.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,6.5,-5.0,20.0,345.75,26.8,0.0,,7.2,13.2,1.05,16.5,1017
